group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_generate_zk_proof,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes,time_zk_verify,time_verify
latency,,50,1000,1024,4096,true,1699,1699,632,4032,33561352,3296633,729517,21101,34589615,3990306,,613,2338
latency,,100,1000,1024,4096,true,3331,2838,786,6955,33561340,3296633,729517,21101,34589603,3990306,,787,3645
latency,,100,1000,1024,4096,true,3181,2889,792,6863,33561340,3296633,729517,21101,34589603,3990306,,784,3694
latency,,100,1000,1024,4096,true,3268,2935,768,6972,33561328,3296633,729517,21101,34589591,3990306,,759,3716
latency,,100,1000,1024,4096,true,3364,2933,743,7040,33561352,3296645,729517,21101,34589615,3990318,,744,3697
latency,,100,1000,1024,4096,true,3354,2928,762,7045,33561352,3296645,729517,21113,34589615,3990330,,754,3698
latency,,100,1000,1024,4096,true,3243,2936,711,6892,33561340,3296633,729517,21089,34589603,3990294,,716,3670
latency,,100,1000,1024,4096,true,3461,2843,742,7048,33561352,3296657,729517,21101,34589615,3990330,,733,3604
latency,,100,1000,1024,4096,true,3344,2896,772,7013,33561340,3296645,729517,21101,34589603,3990318,,773,3689
latency,,100,1000,1024,4096,true,3245,2915,799,6960,33561328,3296645,729517,21089,34589591,3990306,,790,3724
latency,,100,1000,1024,4096,true,3364,2922,775,7063,33561340,3296645,729517,21101,34589603,3990318,,771,3711
latency,,200,1000,1024,4096,true,6425,5125,1148,12699,33561352,3296645,729541,21125,34589639,3990342,,1145,6293
latency,,200,1000,1024,4096,true,6416,5179,1162,12758,33561328,3296645,729541,21113,34589615,3990330,,1154,6362
latency,,200,1000,1024,4096,true,6249,5162,1162,12573,33561340,3296633,729541,21113,34589627,3990318,,1156,6346
latency,,200,1000,1024,4096,true,6456,5199,1140,12797,33561352,3296645,729541,21125,34589639,3990342,,1147,6367
latency,,200,1000,1024,4096,true,6422,5194,1181,12797,33561340,3296633,729541,21125,34589627,3990330,,1181,6391
latency,,200,1000,1024,4096,true,6268,5226,1153,12648,33561328,3296633,729541,21113,34589615,3990318,,1144,6394
latency,,200,1000,1024,4096,true,6429,5218,1166,12814,33561340,3296633,729541,21125,34589627,3990330,,1179,6416
latency,,200,1000,1024,4096,true,6228,5189,1145,12563,33561340,3296633,729541,21125,34589627,3990330,,1135,6349
latency,,200,1000,1024,4096,true,6258,5206,1162,12627,33561340,3296633,729541,21125,34589627,3990330,,1161,6384
latency,,200,1000,1024,4096,true,6238,5184,1171,12593,33561340,3296633,729541,21125,34589627,3990330,,1160,6369
